id,courseCode,courseName,credits,campus,school,subject,courseDescription,coursePrerequisite,offeredJointlyWith,quarters,genEdReq,curriculum,overlappingCourses,createdAt,updatedAt
ee38a9dc-861b-4aeb-9aaf-252742dead21,B ACCT 568,Advanced Accounting and Analytics,4,bothell,School of Business,Accounting(Bothell) (B ACCT),"Accounting for and reporting of foreign currency and hedging activity, business risk and financial reporting risks. Students learn to combine guidance from authoritative literature with knowledge of current business practices and analysis of structured accounting data to develop and effectively communicate with diverse audiences including business leaders, capital markets, regulators and internal and external stakeholders.",None,,"{""Winter 2026""}",None,"ACCOUNTING(BOTHELL), bothell campus",,2025-10-28 05:07:30.623,2025-10-28 05:50:43.528
b827b534-b970-48b6-8f1c-5d3228ea422d,B BUS 110,Personal Finance,5,bothell,School of Business,Business Administration (Bothell Campus) (B BUS),Examines making intelligent decisions to maximize financial resources in all phases of life. Integrates theory with real world application to analyze financial decisions and evaluate costs and benefits.,None,,"{""Winter 2026""}",(RSN) Reasoning,"BUSINESS ADMINISTRATION (BOTHELL CAMPUS), bothell campus",FIN 205 and TMATH 109,2025-10-28 05:07:30.843,2025-10-28 05:50:43.754
b20b62a3-f2dc-42e3-be11-c229a7b69852,B BUS 201,Introduction to Business,5,bothell,School of Business,Business Administration (Bothell Campus) (B BUS),"Provides an overview of the entire business function. Topics may include entrepreneurship, leadership, marketing management, financial management, and technology and innovation.",None,,"{""Winter 2026""}",None,"BUSINESS ADMINISTRATION (BOTHELL CAMPUS), bothell campus",,2025-10-28 05:07:31.063,2025-10-28 05:50:43.974
5b8f613d-1d89-4978-80d4-f551a4a89596,B BUS 210,Principles of Financial Accounting,5,bothell,School of Business,Business Administration (Bothell Campus) (B BUS),"Preparation and use of accounting reports with primary focus on uses of accounting for external reporting. Understand financial statements and prepare statements that accurately present to external entities corporate financial position, operating results, cash flows, and financial strength.",None,,"{""Winter 2026""}",None,"BUSINESS ADMINISTRATION (BOTHELL CAMPUS), bothell campus",,2025-10-28 05:07:31.281,2025-10-28 05:50:44.188
e9a1869c-6720-4c73-9c16-e3db29ee8739,B BUS 211,Principles of Managerial Accounting,5,bothell,School of Business,Business Administration (Bothell Campus) (B BUS),"Uses accounting information for business planning and control purposes. Focuses on internal use of accounting information and topics include cost behavior, product costing, budgeting, performance management, and responsibility accounting. Proficiency in identifying relevant information from operational and strategic decisions.",Minimum grade of 1.7 in B BUS 210.,,"{""Winter 2026""}",None,"BUSINESS ADMINISTRATION (BOTHELL CAMPUS), bothell campus",,2025-10-28 05:07:31.648,2025-10-28 05:50:44.553
6b085597-f62d-4934-a2bc-ba503db73545,B BUS 215,Introduction to Business Statistics,5,bothell,School of Business,Business Administration (Bothell Campus) (B BUS),"Introduces descriptive statistics, probability concepts, and statistical inference emphasizing statistical applications useful in decision making and research in the social sciences. Topics include exploratory data analysis, correlation, sampling theory, estimation, hypothesis testing, and simple regression analysis. Concepts are illustrated through case problems in sociology, psychology, consumer economics, and business.",None,,"{""Winter 2026""}",(RSN) Reasoning,"BUSINESS ADMINISTRATION (BOTHELL CAMPUS), bothell campus",B EDUC 295; B HLTH 215; B MATH 215; and BIS 215,2025-10-28 05:07:32.044,2025-10-28 05:50:44.917
2310a7d4-5651-4a7a-ba07-0c7acc7a91fd,B BUS 220,Introduction to Microeconomics,5,bothell,School of Business,Business Administration (Bothell Campus) (B BUS),"Analysis of markets: consumer demand, production, exchange, the price system, resource allocation, government intervention.",None,BIS 200,"{""Winter 2026""}","(RSN) Reasoning, (SSc) Social Science","BUSINESS ADMINISTRATION (BOTHELL CAMPUS), bothell campus",,2025-10-28 05:07:32.575,2025-10-28 05:50:45.432
7b30b488-ba38-4658-8279-4fde24bb5127,B BUS 221,Introduction to Macroeconomics,5,bothell,School of Business,Business Administration (Bothell Campus) (B BUS),"Analysis of the aggregate economy: national income, inflation, business fluctuations, unemployment, monetary system, federal budget, international trade and finance.",B BUS 220/BIS 200 or ECON 200.,BIS 201,"{""Winter 2026""}","(RSN) Reasoning, (SSc) Social Science","BUSINESS ADMINISTRATION (BOTHELL CAMPUS), bothell campus",,2025-10-28 05:07:32.942,2025-10-28 05:50:45.795
0beaa876-bd18-411c-a954-a8f9c1dff125,B BUS 230,Introduction to Business Law,5,bothell,School of Business,Business Administration (Bothell Campus) (B BUS),"Introduction to the issues of business law. Covers legal resolutions, including courts, court procedures, contract law and Articles 2, 3 and 9 of the Uniform Commercial Code, business ethics, torts, and strict liability and product liability.",None,,"{""Winter 2026""}",(SSc) Social Science,"BUSINESS ADMINISTRATION (BOTHELL CAMPUS), bothell campus",BIS 283; MGMT 200; and T BGEN 218,2025-10-28 05:07:33.239,2025-10-28 05:50:46.087
183cb153-9bb3-4e79-b089-0c5228906ca8,B BUS 435,Accounting Information Systems,5,bothell,School of Business,Business Administration (Bothell Campus) (B BUS),"Provides in-depth coverage of accounting information systems from the perspectives of accounting transition cycles. Examines systems processes, flowcharting and internal controls relevant to each transaction processing cycles. Discusses various technologies underlying accounting information systems, including stand-alone and integrated enterprise application.",Minimum grade of 1.7 in B BUS 361; may not be repeated.,,"{""Winter 2026""}",None,"BUSINESS ADMINISTRATION (BOTHELL CAMPUS), bothell campus",ACCTG 320,2025-10-28 05:07:38.096,2025-10-28 05:50:50.838
