id,courseId,quarter,sectionLetter,sectionType,learningFormat,days,timeRange,location,building,room,instructor,sln,openSeats,totalSeats,addCodeRequired,gradeType,fee,jointWith,createdAt,updatedAt
efa3464a-0634-4096-b799-99974cb4da5d,4adac3d4-baa3-468c-9c1b-35860b9d552e,Winter 2026,,laboratory,In-person,Friday,1:45 PM - 3:45 PM,DISC  building room  263,DISC,263,,10699,24,24,,,,,2025-10-28 05:51:45.338,2025-10-28 05:51:45.338
4f9b0855-8983-4ae2-90b9-6b0cd2e808c2,4adac3d4-baa3-468c-9c1b-35860b9d552e,Winter 2026,,laboratory,In-person,Friday,8:45 AM - 10:45 AM,DISC  building room  263,DISC,263,Alaron Lewis,22148,24,24,,,,,2025-10-28 05:51:45.411,2025-10-28 05:51:45.411
4a587b64-b949-4dd8-b1ec-32cba129b84d,1961f506-2f04-4cb7-8b4b-a01fcf03deb6,Winter 2026,A,lecture (5 credits),In-person,"Monday, Wednesday",3:30 PM - 5:30 PM,UW1  building room  102,UW1,102,Douglas Wacker,10700,48,48,,,,,2025-10-28 05:51:45.623,2025-10-28 05:51:45.623
e6a003d4-ca14-4e3b-b6d0-06f63b7f7808,a1518def-ef9d-4f53-b4f3-ece18f911524,Winter 2026,A,lecture (5 credits),Synchronous Online,"Tuesday, Thursday",11:00 AM - 1:00 PM,,,,Jesse Zaneveld,10701,30,30,,,,,2025-10-28 05:51:45.837,2025-10-28 05:51:45.837
232997b7-a994-4a14-9205-ab2daa129a93,9490aedd-c97a-49b4-a8f7-59e7f87af132,Winter 2026,A,lecture (5 credits),In-person,"Tuesday, Thursday",8:45 AM - 10:45 AM,UW2  building room  005,UW2,005,Michele B. Price,10702,60,60,,,,,2025-10-28 05:51:46.051,2025-10-28 05:51:46.051
5fdd5844-e7df-4e4a-96fd-abf708d42363,9490aedd-c97a-49b4-a8f7-59e7f87af132,Winter 2026,,laboratory,In-person,Tuesday,2:00 PM - 5:00 PM,DISC  building room  267,DISC,267,Michele B. Price,10703,20,20,,,,,2025-10-28 05:51:46.128,2025-10-28 05:51:46.128
62706b62-78bd-4eee-a3dd-b60d33a122e9,9490aedd-c97a-49b4-a8f7-59e7f87af132,Winter 2026,,laboratory,In-person,Thursday,2:00 PM - 5:00 PM,DISC  building room  267,DISC,267,Michele B. Price,10704,20,20,,,,,2025-10-28 05:51:46.2,2025-10-28 05:51:46.2
377946c7-6006-464c-8d89-d0d1240d07a3,9490aedd-c97a-49b4-a8f7-59e7f87af132,Winter 2026,,laboratory,In-person,Friday,8:45 AM - 11:45 AM,DISC  building room  267,DISC,267,Michele B. Price,10705,20,20,,,,,2025-10-28 05:51:46.272,2025-10-28 05:51:46.272
467ea9a5-d6c9-40aa-9a2a-ee2cbe71777b,f53dae5a-26ad-4a0c-99be-5349dcccf5b6,Winter 2026,A,lecture (5 credits),In-person,"Tuesday, Thursday",8:45 AM - 10:45 AM,INV  building room  134,INV,134,Jeffrey Jensen,10706,48,48,,,,,2025-10-28 05:51:46.483,2025-10-28 05:51:46.483
5f797bd3-fe38-48c2-b72b-00c632532f5a,f53dae5a-26ad-4a0c-99be-5349dcccf5b6,Winter 2026,,laboratory,In-person,Wednesday,8:45 AM - 11:45 AM,DISC  building room  267,DISC,267,Jeffrey Jensen,10707,24,24,,,,,2025-10-28 05:51:46.554,2025-10-28 05:51:46.554
11b2f81a-8d24-4d83-bff5-9a0f8bbe6b17,f53dae5a-26ad-4a0c-99be-5349dcccf5b6,Winter 2026,,laboratory,In-person,Wednesday,1:15 PM - 4:15 PM,DISC  building room  267,DISC,267,,10708,24,24,,,,,2025-10-28 05:51:46.624,2025-10-28 05:51:46.624
09aa080c-67fe-4e04-93bb-e8d188e609c6,b15f69c7-042f-48f2-a462-1d49ef9dd06d,Winter 2026,A,lecture (5 credits),In-person,"Monday, Wednesday",11:00 AM - 1:00 PM,UW2  building room  307,UW2,307,Douglas Wacker,10709,18,18,,,,,2025-10-28 05:51:46.847,2025-10-28 05:51:46.847
9045ad51-6dc4-480e-844f-1e4fca10915e,c1aa7bb5-e128-4c3f-9e47-cdc1064f02ee,Winter 2026,A,lecture (5 credits),In-person,"Monday, Wednesday",1:15 PM - 3:15 PM,UW1  building room  302,UW1,302,Elizabeth Ostrowski,10710,48,48,,,,,2025-10-28 05:51:47.063,2025-10-28 05:51:47.063
ba619c2d-c5cc-4ac8-8ee4-e7ba1a1fd46e,fb585066-c28d-479d-9137-b77a4e37915c,Winter 2026,A,lecture (5 credits),In-person,"Monday, Wednesday",1:15 PM - 3:15 PM,UW2  building room  031,UW2,031,Peter Anderson,10711,24,24,,,,,2025-10-28 05:51:47.294,2025-10-28 05:51:47.294
7d4569de-1827-4f7a-a680-9f4302f63664,aeb94fa7-7001-4f91-8f16-ee24744b891e,Winter 2026,A,lecture (5 credits),In-person,"Monday, Wednesday",3:30 PM - 5:30 PM,UW1  building room  021,UW1,021,Han-Wei Shih,10712,40,40,,,,,2025-10-28 05:51:47.514,2025-10-28 05:51:47.514
4439ea05-16f0-4f84-a6a5-db3ccf60b21d,ac4cbab1-bddb-4cbc-9ddf-9b69cbc200df,Winter 2026,A,lecture (5 credits),In-person,"Monday, Wednesday",8:45 AM - 10:45 AM,UW2  building room  205,UW2,205,Salwa Al-Noori,10713,24,24,,,,,2025-10-28 05:51:47.734,2025-10-28 05:51:47.734
94028ebc-04c2-4f51-926c-4c5fa74784c8,a0800249-616e-49d2-9e91-1ae102f328db,Winter 2026,A,lecture (5 credits),In-person,"Monday, Wednesday",11:00 AM - 1:00 PM,UW1  building room  302,UW1,302,Ian Gillis,10714,48,48,,,,,2025-10-28 05:51:47.947,2025-10-28 05:51:47.947
1a94da67-c0db-4b1f-a761-9b430225e02b,677a4430-7bf2-4a2d-8881-1fd48283be89,Winter 2026,A,lecture (5 credits),In-person,"Monday, Wednesday",1:15 PM - 3:15 PM,SSGC  building room  101,SSGC,101,Tim Cooper,10715,24,24,,,,,2025-10-28 05:51:48.158,2025-10-28 05:51:48.158
221b43c4-1103-4f89-8fb2-e70df10e461b,edaccdd8-0bd7-40b6-814e-3f89f28eaeec,Winter 2026,A,lecture (5 credits),In-person,"Monday, Wednesday",8:45 AM - 10:45 AM,INV  building room  223,INV,223,Elizabeth Ostrowski,10716,12,12,,,,,2025-10-28 05:51:48.369,2025-10-28 05:51:48.369
d18e1494-7f45-47f2-9e61-30680d297c25,edaccdd8-0bd7-40b6-814e-3f89f28eaeec,Winter 2026,B,lecture (5 credits),In-person,"Tuesday, Thursday",1:15 PM - 3:15 PM,INV  building room  223,INV,223,Han-Wei Shih,10717,12,12,,,,,2025-10-28 05:51:48.445,2025-10-28 05:51:48.445
268e58d7-7fd3-4d4a-9bec-be189399d3b2,edaccdd8-0bd7-40b6-814e-3f89f28eaeec,Winter 2026,C,lecture (5 credits),In-person,"Tuesday, Thursday",11:00 AM - 1:00 PM,INV  building room  223,INV,223,Tim Cooper,10718,12,12,,,,,2025-10-28 05:51:48.516,2025-10-28 05:51:48.516
fe95881d-eb95-46e3-b401-91f487581e10,fa2ffb8e-aafb-4ff1-ad6a-4c590ff85ad3,Winter 2026,A,independent study (1-5 credit),In-person,,,,,,,10719,10,10,,,,,2025-10-28 05:51:48.735,2025-10-28 05:51:48.735
